lcl,Median,ucl,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.100,Rhat,parameter,Year,demographic,Scenario
558.229793045313,915.541618933989,1360.06607236705,940.626340261608,210.938335374515,878.801968061798,6.33854116350239,3,1107,0.833566386329542,1.00257658483977,"Ntot.f[3,25]",2046,pop.size,unsuccessful mouse eradication and worsening impacts
1892.68547460316,3187.87670066058,4793.80825818855,3279.5398155719,760.52406479814,3049.07752994282,24.4839392666536,3.2,965,0.866873675193846,1.00222067191058,"Ntot.f[1,26]",2047,pop.size,"past, and no future change"
2937.43896557355,5404.32100583019,8568.47240641437,5589.02558062569,1461.63656955178,5189.47631560089,53.8066171595282,3.7,738,0.887214435182273,1.00232111465803,"Ntot.f[2,26]",2047,pop.size,after successful mouse eradication
513.029714871128,854.705960336894,1289.59566689997,879.914620880617,204.629249786951,823.386278248731,6.15722871426329,3,1104,0.833741840309279,1.00252925687353,"Ntot.f[3,26]",2047,pop.size,unsuccessful mouse eradication and worsening impacts
1874.85384028884,3159.57490933152,4857.17320339592,3258.01993066248,783.003618265807,3017.98605224012,25.2384966542346,3.2,962,0.867275061369477,1.0022018157368,"Ntot.f[1,27]",2048,pop.size,"past, and no future change"
2987.77234721664,5461.71802613421,8861.03448239226,5659.08879168866,1527.05647344517,5173.23732050776,56.2011745301888,3.7,738,0.887286370681362,1.00234179121431,"Ntot.f[2,27]",2048,pop.size,after successful mouse eradication
476.376406832242,798.45965353461,1226.01934847069,823.440048531976,198.377402196537,766.909950420737,5.98018035954583,3,1100,0.833831603186178,1.00250750593717,"Ntot.f[3,27]",2048,pop.size,unsuccessful mouse eradication and worsening impacts
1812.2254323171,3132.32630873526,4872.59250821363,3236.70023132133,805.246386166382,2968.50523309098,25.9852974760925,3.2,960,0.867671399421966,1.00218609415627,"Ntot.f[1,28]",2049,pop.size,"past, and no future change"
2943.64950225288,5520.24727285658,9051.48480941688,5729.94773164424,1592.83053425584,5201.38498940349,58.6040846133478,3.7,739,0.887259902815971,1.00236039120091,"Ntot.f[2,28]",2049,pop.size,after successful mouse eradication
432.675599491807,745.719820510448,1155.55268281434,770.77248684476,192.039101248181,708.31726893952,5.79810328509233,3,1097,0.833875417546464,1.00251177969912,"Ntot.f[3,28]",2049,pop.size,unsuccessful mouse eradication and worsening impacts
1763.99229694854,3104.89439073486,4903.12624579698,3215.67197676412,827.11359135167,2924.55231727956,26.4834955516027,3.2,975,0.867944852046885,1.00217502629158,"Ntot.f[1,29]",2050,pop.size,"past, and no future change"
2917.83776523919,5578.13948441365,9239.47558585748,5801.23268574961,1658.19881204311,5238.37303737134,60.9841920023457,3.7,739,0.887232370731634,1.00238277481711,"Ntot.f[2,29]",2050,pop.size,after successful mouse eradication
389.096927380619,697.077276885691,1087.38697213365,721.841259626372,185.786857513205,660.224545402197,5.62161196832428,3,1092,0.833888975552533,1.00250639161907,"Ntot.f[3,29]",2050,pop.size,unsuccessful mouse eradication and worsening impacts
1666.05593577338,3079.71591189646,4879.32715417801,3195.22789925515,848.803425627346,2897.15770706918,27.1981854286804,3.2,974,0.868209582195033,1.00216712815046,"Ntot.f[1,30]",2051,pop.size,"past, and no future change"
2932.98308579053,5637.29402365818,9469.2079539871,5872.83404453953,1723.03117780079,5312.95810051902,63.3246482576492,3.7,740,0.887154178034015,1.00242781302561,"Ntot.f[2,30]",2051,pop.size,after successful mouse eradication
364.441051259532,651.746465799529,1037.9929876513,676.205793407542,179.591742945881,614.213079932812,5.45183311982762,3,1085,0.83374190743819,1.00251346796809,"Ntot.f[3,30]",2051,pop.size,unsuccessful mouse eradication and worsening impacts
