parameter,mean,median,lcl,ucl
"IM[4,10,1]",173.454013333333,173,151,196
"IM[4,11,1]",116.568191666667,116,90,145
"IM[4,12,1]",74.309125,74,50,104
"IM[4,13,1]",44.9236466666667,44,25,71
"IM[4,14,1]",25.7400516666667,25,11,47
"IM[4,15,1]",13.942525,13,4,30
"IM[4,16,1]",7.13829333333333,6,1,18
"IM[4,17,1]",3.465475,3,1,10
"IM[4,18,1]",1.78828666666667,1,0,6
"IM[4,19,1]",1.19733166666667,1,0,3
"IM[4,2,1]",114.048633333333,114,89,141
"IM[4,20,1]",1.02517,1,0,2
"IM[4,21,1]",0.971093333333333,1,0,1
"IM[4,22,1]",0.956575,1,0,1
"IM[4,23,1]",0.95241,1,0,1
"IM[4,24,1]",0.950925,1,0,1
"IM[4,25,1]",0.952428333333333,1,0,1
"IM[4,26,1]",0.951686666666667,1,0,1
"IM[4,27,1]",0.951743333333333,1,0,1
"IM[4,28,1]",0.95179,1,0,1
"IM[4,29,1]",0.952136666666667,1,0,1
"IM[4,3,1]",366.862485,367,316,415
"IM[4,30,1]",0.951503333333333,1,0,1
"IM[4,4,1]",262.79893,263,247,277
"IM[4,5,1]",261.684198333333,262,246,276
"IM[4,6,1]",258.420238333333,259,243,273
"IM[4,7,1]",255.680073333333,256,240,270
"IM[4,8,1]",252.812606666667,253,237,267
"IM[4,9,1]",248.203346666667,248,232,263
"IM[5,1,1]",146.47901,147,107,184
"IM[5,10,1]",201.846316666667,202,185,218
"IM[5,11,1]",135.618311666667,136,117,155
"IM[5,12,1]",88.9147183333333,89,68,112
"IM[5,13,1]",55.1392133333333,54,36,78
"IM[5,14,1]",32.3254816666667,31,18,52
"IM[5,15,1]",17.9014416666667,17,8,33
"IM[5,16,1]",9.34074666666667,9,3,20
"IM[5,17,1]",4.60137833333333,4,1,12
"IM[5,18,1]",2.22368333333333,2,0,7
"IM[5,19,1]",1.30891833333333,1,0,4
"IM[5,2,1]",212.78324,212,172,255
"IM[5,20,1]",1.05800166666667,1,0,2
"IM[5,21,1]",0.985475,1,0,2
"IM[5,22,1]",0.951256666666667,1,0,1
"IM[5,23,1]",0.942853333333333,1,0,1
"IM[5,24,1]",0.939273333333333,1,0,1
"IM[5,25,1]",0.939853333333333,1,0,1
"IM[5,26,1]",0.939638333333333,1,0,1
"IM[5,27,1]",0.9403,1,0,1
"IM[5,28,1]",0.939251666666667,1,0,1
"IM[5,29,1]",0.940166666666667,1,0,1
"IM[5,3,1]",100.541738333333,100,78,125
"IM[5,30,1]",0.939586666666667,1,0,1
"IM[5,4,1]",337.168753333333,337,288,384
"IM[5,5,1]",227.106658333333,227,211,242
"IM[5,6,1]",225.215266666667,225,208,241
"IM[5,7,1]",219.385878333333,219,203,236
"IM[5,8,1]",214.49253,215,198,230
"IM[5,9,1]",209.21176,209,192,225
"IM[6,1,1]",86.7555883333333,86,63,113
"IM[6,10,1]",165.731821666667,166,148,183
"IM[6,11,1]",156.538801666667,157,139,174
"IM[6,12,1]",99.5025383333333,99,84,116
"IM[6,13,1]",63.2351166666667,63,47,81
"IM[6,14,1]",37.88833,37,24,55
"IM[6,15,1]",21.3795783333333,21,11,35
"IM[6,16,1]",11.36521,11,5,22
"IM[6,17,1]",5.68641333333333,5,2,13
"IM[6,18,1]",2.718075,2,1,7
"IM[6,19,1]",1.444645,1,0,4
"IM[6,2,1]",136.512176666667,137,100,172
"IM[6,20,1]",1.08343666666667,1,0,2
"IM[6,21,1]",0.990098333333333,1,0,2
"IM[6,22,1]",0.953345,1,0,1
"IM[6,23,1]",0.93929,1,0,1
"IM[6,24,1]",0.933861666666667,1,0,1
"IM[6,25,1]",0.933721666666667,1,0,1
"IM[6,26,1]",0.932183333333333,1,0,1
"IM[6,27,1]",0.933166666666667,1,0,1
"IM[6,28,1]",0.931826666666667,1,0,1
"IM[6,29,1]",0.933348333333333,1,0,1
"IM[6,3,1]",188.352441666667,188,150,229
"IM[6,30,1]",0.932278333333333,1,0,1
"IM[6,4,1]",86.1378016666667,86,66,108
"IM[6,5,1]",306.078393333333,306,259,351
"IM[6,6,1]",189.545211666667,190,174,205
"IM[6,7,1]",187.549803333333,188,170,204
"IM[6,8,1]",179.302283333333,179,162,196
"IM[6,9,1]",172.874661666667,173,156,190
"IM[7,1,1]",173.843345,173,136,214
"IM[7,10,1]",135.115626666667,135,117,153
"IM[7,11,1]",126.783563333333,127,109,144
"IM[7,12,1]",116.851821666667,117,99,135
"IM[7,13,1]",68.899885,69,56,83
"IM[7,14,1]",42.1852016666667,42,30,56
"IM[7,15,1]",24.256045,24,15,36
"IM[7,16,1]",13.091195,13,7,22
"IM[7,17,1]",6.647835,6,2,13
"IM[7,18,1]",3.18779166666667,3,1,8
"IM[7,19,1]",1.61396166666667,1,0,4
"IM[7,2,1]",81.1525266666667,81,59,106
"IM[7,20,1]",1.10247833333333,1,0,3
"IM[7,21,1]",0.99318,1,0,2
"IM[7,22,1]",0.964246666666667,1,0,2
"IM[7,23,1]",0.946388333333333,1,0,1
"IM[7,24,1]",0.93836,1,0,1
